time,gFx,gFy,gFz,TgF
1.190522447,0.0012,-0.0010,0.9961,1.008
1.192240156,0.0037,-0.0012,0.9973,1.009
1.194948281,0.0000,-0.0005,0.9949,1.007
1.197497239,0.0010,-0.0034,0.9971,1.009
1.199773906,0.0017,-0.0037,0.9956,1.008
1.204338281,0.0017,-0.0017,0.9956,1.007
1.204685677,0.0024,-0.0027,0.9949,1.007
1.207024999,0.0022,-0.0010,0.9951,1.007
1.209095468,0.0007,-0.0017,0.9958,1.008
1.212166874,0.0007,-0.0012,0.9944,1.006
1.214533333,0.0022,-0.0010,0.9951,1.007
1.216302604,0.0000,-0.0024,0.9954,1.007
1.219165885,0.0020,-0.0005,0.9951,1.007
1.221183072,0.0012,-0.0020,0.9956,1.007
1.223258177,0.0029,0.0000,0.9956,1.007
1.225734166,0.0002,-0.0007,0.9966,1.008
1.22826302,0.0012,-0.0007,0.9963,1.008
1.232578958,0.0010,-0.0012,0.9956,1.007
1.233141874,0.0017,-0.0005,0.9966,1.008
1.236558177,0.0022,0.0007,0.9958,1.007
1.238029635,0.0017,-0.0012,0.9966,1.008
1.240459895,0.0032,0.0002,0.9966,1.008
1.242586249,0.0017,0.0005,0.9976,1.009
1.244854062,0.0007,-0.0015,0.9954,1.007
1.247865416,0.0015,-0.0007,0.9978,1.010
1.250166406,0.0010,0.0000,0.9976,1.009
1.254199374,0.0015,0.0000,0.9968,1.008
1.255098124,0.0010,-0.0015,0.9934,1.005
1.257425833,0.0020,-0.0002,0.9941,1.006
1.259329374,0.0027,-0.0005,0.9976,1.009
1.262079218,0.0029,-0.0015,0.9971,1.009
1.264673177,0.0034,0.0002,0.9963,1.008
1.266679583,0.0020,0.0000,0.9968,1.008
1.269486614,0.0017,-0.0015,0.9956,1.007
1.271941145,0.0024,-0.0007,0.9978,1.010
1.273705989,0.0005,-0.0037,0.9978,1.010
1.276016458,0.0012,-0.0012,0.9966,1.008
1.278345729,0.0027,-0.0020,0.9961,1.008
1.281115624,0.0020,0.0002,0.9971,1.009
1.28324401,0.0015,-0.0007,0.9963,1.008
1.286840364,0.0022,-0.0020,0.9983,1.010
1.289593697,0.0007,-0.0022,0.9971,1.009
1.29039776,-0.0005,-0.0022,0.9978,1.010
1.292850677,0.0005,-0.0012,0.9944,1.006
1.295344583,0.0002,-0.0032,0.9961,1.008
1.298284843,0.0012,-0.0005,0.9966,1.008
1.300169739,0.0005,-0.0024,0.9968,1.009
1.303823229,0.0027,-0.0032,0.9946,1.007
1.306059791,0.0010,-0.0022,0.9961,1.008
1.307303802,0.0024,-0.0015,0.9949,1.007
1.309672656,0.0007,-0.0015,0.9968,1.009
1.312137708,0.0005,-0.0012,0.9978,1.010
1.314491041,0.0034,-0.0015,0.9963,1.008
1.317223541,0.0020,-0.0024,0.9951,1.007
1.319395729,0.0005,-0.0012,0.9963,1.008
1.322107552,0.0012,-0.0022,0.9958,1.008
1.324268749,0.0012,-0.0020,0.9958,1.008
1.326842708,0.0037,-0.0005,0.9980,1.010
1.329192552,0.0017,-0.0015,0.9978,1.010
1.331483072,0.0010,-0.0002,0.9937,1.005
1.334187499,0.0015,-0.0027,0.9954,1.007
1.336814739,0.0012,-0.0002,0.9944,1.006
1.338514843,0.0022,-0.0027,0.9951,1.007
1.341551041,0.0024,-0.0015,0.9958,1.008
1.344044687,0.0017,-0.0022,0.9966,1.008
1.346359583,0.0007,-0.0020,0.9956,1.007
1.348580364,-0.0005,-0.0010,0.9968,1.009
1.350798333,0.0020,-0.0005,0.9973,1.009
1.353290833,0.0015,0.0002,0.9978,1.009
1.355421093,0.0015,-0.0005,0.9941,1.006
1.358095781,-0.0002,-0.0002,0.9954,1.007
1.36055927,0.0027,-0.0029,0.9966,1.008
1.362670052,0.0029,-0.0017,0.9971,1.009
1.365024427,0.0020,-0.0012,0.9956,1.007
1.367307968,0.0020,-0.0017,0.9961,1.008
1.37165526,0.0012,-0.0012,0.9946,1.006
1.372016302,0.0005,-0.0020,0.9963,1.008
1.376815156,0.0012,-0.0007,0.9954,1.007
1.377205677,0.0007,0.0000,0.9976,1.009
1.38040401,0.0017,-0.0002,0.9966,1.008
1.382096145,0.0029,-0.0027,0.9971,1.009
1.38464776,0.0010,-0.0029,0.9963,1.008
1.387199895,0.0005,-0.0017,0.9958,1.008
1.388965833,0.0015,-0.0022,0.9966,1.008
1.391255729,0.0015,-0.0032,0.9932,1.005
1.393597708,0.0020,0.0005,0.9963,1.008
1.39626052,0.0022,-0.0005,0.9966,1.008
1.39864177,0.0010,0.0007,0.9968,1.008
1.401552864,0.0002,-0.0017,0.9951,1.007
1.40760651,0.0017,-0.0007,0.9944,1.006
1.408713697,0.0017,-0.0032,0.9946,1.007
1.409837604,0.0027,-0.0010,0.9963,1.008
1.414586562,0.0010,-0.0022,0.9980,1.010
1.414843749,0.0002,-0.0010,0.9954,1.007
1.415580885,0.0020,-0.0020,0.9963,1.008
1.417732291,0.0012,-0.0024,0.9963,1.008
1.420091301,0.0012,-0.0027,0.9961,1.008
1.423280676,0.0000,-0.0005,0.9958,1.008
1.424997291,0.0015,-0.0012,0.9963,1.008
1.427288801,0.0020,-0.0029,0.9939,1.006
1.430803541,0.0015,-0.0005,0.9949,1.007
1.433198541,0.0017,-0.0020,1.0010,1.013
1.434619062,0.0000,-0.0022,0.9993,1.011
1.438943645,0.0010,-0.0027,0.9951,1.007
1.440028333,0.0012,-0.0015,0.9980,1.010
1.44194552,0.0010,-0.0007,0.9963,1.008
1.444485937,-0.0002,0.0007,0.9971,1.009
1.446539426,0.0015,0.0012,0.9966,1.008
1.448911406,0.0020,-0.0002,0.9971,1.009
1.451429374,0.0012,-0.0024,0.9973,1.009
1.454059635,0.0010,-0.0022,0.9949,1.007
1.456145676,0.0029,-0.0029,0.9963,1.008
1.458809843,0.0020,-0.0007,0.9958,1.008
1.460864687,0.0012,0.0012,0.9985,1.010
1.463361926,-0.0007,-0.0010,0.9980,1.010
1.46649151,0.0007,-0.0024,0.9951,1.007
1.468366874,0.0029,-0.0024,0.9956,1.007
1.47174177,-0.0005,-0.0020,0.9956,1.007
1.473066718,0.0020,-0.0005,0.9858,0.998
1.475624895,0.0015,-0.0024,1.0022,1.014
1.477693229,0.0012,-0.0020,0.9966,1.008
1.480220885,0.0002,-0.0037,1.0002,1.012
1.484646666,0.0002,-0.0010,0.9976,1.009
1.485253124,0.0027,-0.0007,0.9939,1.006
1.48736026,0.0012,-0.0010,0.9971,1.009
1.489783801,-0.0005,0.0005,0.9941,1.006
1.492092551,0.0015,-0.0015,0.9963,1.008
1.494880729,0.0010,-0.0010,0.9958,1.008
1.496962916,0.0005,-0.0012,0.9968,1.009
1.499488489,0.0020,-0.0029,0.9956,1.007
1.501831041,0.0022,0.0000,0.9968,1.008
1.51242677,0.0037,-0.0005,0.9983,1.010
1.512916562,0.0015,-0.0010,0.9985,1.010
1.51306151,0.0017,-0.0010,0.9954,1.007
1.513154322,-0.0010,-0.0012,0.9971,1.009
1.517368541,0.0024,0.0002,0.9937,1.005
1.517568645,0.0024,-0.0007,0.9946,1.006
1.518950208,0.0005,-0.0017,0.9963,1.008
1.521273124,0.0007,-0.0029,0.9971,1.009
1.52357177,0.0020,-0.0010,0.9976,1.009
1.525978281,0.0027,-0.0022,1.0002,1.012
1.528141666,0.0012,-0.0015,0.9973,1.009
1.53150552,0.0010,-0.0010,0.9995,1.011
1.533034426,0.0024,0.0002,1.0007,1.012
1.535542916,0.0015,-0.0027,0.9988,1.011
1.537853749,0.0010,-0.0020,0.9954,1.007
1.542408697,0.0002,-0.0017,0.9973,1.009
1.542982656,0.0015,-0.0015,0.9963,1.008
1.545194426,0.0007,-0.0012,0.9978,1.010
1.547259635,0.0020,-0.0042,0.9976,1.010
1.551259374,-0.0010,-0.0015,0.9988,1.011
1.552089322,0.0012,0.0000,0.9983,1.010
1.557184635,0.0000,0.0002,1.0027,1.014
1.55850677,0.0002,-0.0015,1.0017,1.013
1.559719426,-0.0010,-0.0002,1.0020,1.014
1.562145885,0.0039,-0.0039,1.0081,1.020
1.564555156,0.0017,-0.0017,1.0046,1.016
1.566752916,0.0032,-0.0027,1.0042,1.016
1.569595208,0.0046,0.0005,1.0049,1.016
1.571433541,0.0125,0.0012,1.0183,1.030
1.573686979,0.0298,0.0063,1.0537,1.065
1.576606041,0.0196,-0.0037,1.0230,1.035
1.579234166,0.1002,0.0281,1.0396,1.052
1.581158333,0.0841,0.0295,1.0369,1.048
1.58328401,0.0782,0.0271,1.0389,1.050
1.585674895,0.0789,0.0259,1.0464,1.058
1.588404999,0.0806,0.0251,1.0452,1.057
1.590522604,0.0809,0.0276,1.0450,1.056
1.592831666,0.0728,0.0254,1.0591,1.070
1.595397291,0.0613,0.0210,1.0787,1.089
1.597918176,0.0484,0.0127,1.0948,1.106
1.600742343,0.0310,0.0034,1.1087,1.120
1.602383697,0.0169,0.0005,1.1219,1.133
1.605117968,0.0037,-0.0056,1.1329,1.145
1.60721427,0.0034,-0.0054,1.1351,1.147
1.61030776,0.0059,-0.0024,1.1332,1.145
1.612792135,0.0112,0.0029,1.1354,1.146
1.614877916,0.0166,0.0076,1.1197,1.130
1.617707968,0.0181,0.0110,1.1134,1.124
1.621941979,0.0183,0.0181,1.0904,1.101
1.622367187,0.0174,0.0188,1.0692,1.079
1.624249999,0.0152,0.0237,1.0569,1.067
1.626687968,0.0174,0.0227,1.0357,1.046
1.629411978,0.0218,0.0220,1.0227,1.033
1.631485468,0.0264,0.0164,1.0203,1.031
1.633850103,0.0281,0.0117,1.0254,1.036
1.636193645,0.0242,0.0027,1.0335,1.045
1.638623124,0.0181,-0.0015,1.0484,1.060
1.641135208,0.0085,-0.0113,1.0611,1.073
1.643447447,-0.0015,-0.0191,1.0711,1.084
1.64667776,-0.0107,-0.0186,1.0787,1.092
1.648332499,-0.0142,-0.0152,1.0828,1.096
1.651213801,-0.0178,-0.0054,1.0887,1.101
1.654396406,-0.0161,0.0054,1.0931,1.105
1.655387031,-0.0139,0.0073,1.0994,1.111
1.658058593,-0.0093,0.0105,1.1129,1.124
1.66036177,-0.0122,0.0105,1.1209,1.132
1.662680312,-0.0171,0.0093,1.1302,1.141
1.665138176,-0.0251,0.0022,1.1405,1.152
1.667394843,-0.0313,0.0022,1.1456,1.158
1.670601562,-0.0364,-0.0010,1.1539,1.167
1.672058228,-0.0352,0.0012,1.1593,1.172
1.674637395,-0.0322,0.0051,1.1581,1.170
1.677339583,-0.0271,0.0107,1.1586,1.170
1.679509426,-0.0249,0.0168,1.1573,1.168
